MSG_TYPE,NODE_1,NODE_2,SEQTS,HLC,BITMAP,OFFSETS,COUNTERS,NUM_PROCS,EPSILON,INTERVAL,DELTA,ALPHA,MAX_OFFSET_SIZE,OFFSET_SIZE,COUNTER_SIZE,CLOCK_SIZE,MAX_OFFSET
RECV,10.1.1.3,10.1.1.1,15,4884,00100,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,20,0
RECV,10.1.1.4,10.1.1.2,15,4879,01000,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,20,0
RECV,10.1.1.1,10.1.1.4,15,4693,01001,0000000000000000000000000000000000000000000000000000000000000000,1,5,100,50,200,20,7,14,1,28,0
RECV,10.1.1.1,10.1.1.3,15,4869,00101,0000000000000000000000000000000000000000000000000000000000000000,1,5,100,50,200,20,7,14,1,28,0
RECV,10.1.1.2,10.1.1.5,15,4863,10010,0000000000000000000000000000000000000000000000000000000100000000,0,5,100,50,200,20,7,14,0,27,2
SEND,10.1.1.1,10.1.1.2,16,5142,00001,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,20,0
SEND,10.1.1.2,10.1.1.1,16,5122,00010,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,20,0
SEND,10.1.1.3,10.1.1.2,16,4933,00100,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,20,0
SEND,10.1.1.4,10.1.1.5,16,4890,01000,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,20,0
SEND,10.1.1.5,10.1.1.1,16,4861,10000,0000000000000000000000000000000000000000000000000000000000000000,1,5,100,50,200,20,7,7,1,21,0
RECV,10.1.1.2,10.1.1.1,16,5163,00011,0000000000000000000000000000000000000000000000000000000000010101,0,5,100,50,200,20,7,14,0,27,21
RECV,10.1.1.1,10.1.1.2,16,5171,00011,0000000000000000000000000000000000000000000000000001100010000000,0,5,100,50,200,20,7,14,0,27,49
RECV,10.1.1.1,10.1.1.5,16,5204,00011,0000000000000000000000000000000000000000000000000010100100000000,0,5,100,50,200,20,7,14,0,27,82
RECV,10.1.1.5,10.1.1.4,16,5091,10000,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,20,0
RECV,10.1.1.2,10.1.1.3,16,5168,00011,0000000000000000000000000000000000000000000000000000000000011010,0,5,100,50,200,20,7,14,0,27,26
SEND,10.1.1.1,10.1.1.4,17,5222,00001,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,20,0
SEND,10.1.1.2,10.1.1.3,17,5224,00011,0000000000000000000000000000000000000000000000000000000001010010,0,5,100,50,200,20,7,14,0,27,82
SEND,10.1.1.3,10.1.1.1,17,5069,00100,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,20,0
SEND,10.1.1.4,10.1.1.2,17,5447,01000,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,20,0
SEND,10.1.1.5,10.1.1.2,17,5538,10000,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,20,0
RECV,10.1.1.4,10.1.1.1,17,5489,01000,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,20,0
RECV,10.1.1.3,10.1.1.2,17,5311,00110,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,14,0,27,0
RECV,10.1.1.2,10.1.1.4,17,5447,01010,0000000000000000000000000000000000000000000000000000000000000000,1,5,100,50,200,20,7,14,1,28,0
RECV,10.1.1.1,10.1.1.3,17,5304,00001,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,20,0
RECV,10.1.1.2,10.1.1.5,17,5538,11010,0000000000000000000000000000000000000000000000000010110110000000,0,5,100,50,200,20,7,21,0,34,91
SEND,10.1.1.1,10.1.1.5,18,5550,00001,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,20,0
SEND,10.1.1.2,10.1.1.3,18,5727,00010,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,20,0
SEND,10.1.1.3,10.1.1.2,18,5606,00100,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,20,0
SEND,10.1.1.4,10.1.1.5,18,5732,01000,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,20,0
